CSDNAME,CSDUID,"Population, 2021","Population percentage change, 2016 to 2021 (%)",Total private dwellings,Private dwellings occupied by usual residents,Land Area (sq km),Population Density (sq km)
Drummond/North Elmsley,3509010,8183,5.3,3708,3287,365.67,22.4
Smiths Falls,3509004,9254,5.4,4523,4311,9.66,958.1
Montague,3509001,3914,4.1,1551,1503,278.47,14.1
North Grenville,3507065,17964,9.2,7244,7038,351.9,51
Merrickville-Wolford,3507052,3135,2.2,1392,1290,214.33,14.6
Athens,3507042,3042,0.8,1325,1214,129.54,23.5
Rideau Lakes,3507040,10883,5.4,6781,4696,711.81,15.3
Westport,3507033,634,7.5,359,334,2.19,289
Gananoque,3507024,5383,4.3,2767,2562,7.01,768.4
Leeds and the Thousand Islands,3507021,9804,3.6,5040,3994,608.09,16.1
Front of Yonge,3507017,2595,-0.3,1208,1073,125.25,20.7
Brockville,3507015,22116,2.5,11088,10647,20.91,1057.8
Elizabethtown-Kitley,3507014,9545,-0.9,4029,3791,555.96,17.2
Prescott,3507008,4078,-3.4,1993,1889,4.94,826
Augusta,3507006,7386,0.4,3046,2952,313.77,23.5
Edwardsburgh/Cardinal,3507004,7505,6.1,3285,3138,309.91,24.2
Ottawa,3506008,1017449,8.9,427113,407252,2788.2,364.9
Russell,3502048,19598,18.6,7335,7226,198.78,98.6
Casselman,3502044,3960,11.6,1630,1578,5.13,772.2
Clarence-Rockland,3502036,26505,8.1,10316,10095,297.47,89.1
The Nation / La Nation,3502025,13350,4.2,5259,5104,658.93,20.3
Alfred and Plantagenet,3502023,9949,2.8,4297,4080,391.79,25.4
Champlain,3502010,8665,-0.5,3964,3750,207.02,41.9
Hawkesbury,3502008,10194,-0.7,5308,5080,10.1,1009.7
East Hawkesbury,3502001,3418,3.7,1507,1425,235.06,14.5
North Glengarry,3501050,10144,0.3,4714,4422,643.4,15.8
North Stormont,3501042,7400,7.7,2949,2853,515.46,14.4
North Dundas,3501030,11304,0.2,4673,4537,502.41,22.5
South Dundas,3501020,11044,1.8,4821,4651,521.54,21.2
Cornwall,3501012,47845,2.7,22214,21386,61.5,777.9
South Stormont,3501011,13570,3.5,5583,5412,447.71,30.3
Akwesasne (Part) 59,3501007,,,,,11.81,
South Glengarry,3501005,13330,1.4,5848,5431,605.02,22
Baie-d'Hudson,2499904,5,,3,3,120831.34,0
Rivière-Koksoak,2499902,0,,0,0,290009.61,0
Kangiqsualujjuaq,2499894,0,,0,0,530.48,0
Kuujjuaq,2499893,0,,0,0,315.46,0
Tasiujaq,2499892,0,,0,0,492.69,0
Aupaluk,2499891,0,,0,0,525.88,0
Kangirsuk,2499890,0,,0,0,512.43,0
Quaqtaq,2499889,0,,0,0,503.65,0
Kangiqsujuaq,2499888,0,,0,0,561.33,0
Salluit,2499887,0,,0,0,591.68,0
Ivujivik,2499885,0,,0,0,438.05,0
Akulivik,2499883,0,,0,0,433.92,0
Inukjuak,2499879,0,,0,0,420.69,0
Umiujaq,2499878,0,,0,0,253.95,0
Kuujjuarapik,2499877,0,,0,0,289.92,0
Oujé-Bougoumou,2499818,797,6.7,277,218,96.22,8.3
Whapmagoostui,2499816,1022,0.6,251,228,190.83,5.4
Chisasibi,2499814,4985,2.3,1281,1056,825.11,6
Wemindji,2499812,1562,8.2,493,397,387.37,4
Eastmain,2499810,924,6.7,280,223,148.99,6.2
Nemaska,2499808,832,9.5,291,221,98.42,8.5
Waskaganish,2499806,2536,15.5,626,563,496.99,5.1
Mistissini,2499804,3731,5.9,1210,1019,807.75,4.6
Waswanipi,2499802,459,-73.9,160,127,385.83,1.2
Ivujivik,2499140,412,-0.5,136,123,35.15,11.7
Salluit,2499135,1580,6.5,473,426,15.08,104.8
Kangiqsujuaq,2499130,837,11.6,321,297,12.41,67.5
Akulivik,2499125,642,1.4,204,181,75.02,8.6
Puvirnituq,2499120,2129,19.7,697,547,81.61,26.1
Quaqtaq,2499115,453,12.4,173,144,25.82,17.5
Kangirsuk,2499110,561,-1.1,197,170,57.15,9.8
Aupaluk,2499105,233,11.5,77,70,28.68,8.1
Tasiujaq,2499100,420,13.8,120,106,65.53,6.4
Kuujjuaq,2499095,2668,-3.1,1253,973,289.97,9.2
Kangiqsualujjuaq,2499090,956,1.5,270,247,34.33,27.9
Inukjuak,2499085,1821,3.6,588,481,54.92,33.2
Umiujaq,2499080,541,22.4,178,168,28.38,19.1
Kuujjuarapik,2499075,792,21.1,267,249,7.45,106.3
Whapmagoostui,2499070,0,,0,0,120.86,0
Kawawachikamach,2499065,0,,0,0,234.8,0
Eeyou Istchee Baie-James,2499060,2638,67.1,1331,906,283123.42,0
Chisasibi,2499055,0,,0,0,480.29,0
Wemindji,2499050,0,,0,0,169.12,0
Eastmain,2499045,0,,0,0,317.72,0
Nemaska,2499040,0,,0,0,47.89,0
Waskaganish,2499035,0,,0,0,274.22,0
Mistissini,2499030,10,,3,3,488.03,0
Chibougamau,2499025,7233,-3.6,3557,3190,694.87,10.4
Chapais,2499020,1468,-2.1,711,648,62.31,23.6
Matagami,2499015,1402,-3.5,736,617,75.12,18.7
Waswanipi,2499010,0,,0,0,213.35,0
Lebel-sur-Quévillon,2499005,2091,-4.4,1161,942,44.41,47.1
Petit-Mécatina,2498912,0,,0,0,35347.19,0
Lac-Jérôme,2498904,0,,0,0,40019.7,0
Mingan,2498808,552,0,165,160,17.24,32
Nutashkuan,2498806,915,9.6,234,228,1.35,678.5
Romaine 2,2498804,,,,,0.84,
Pakuashipi,2498802,,,,,3.87,
Rivière-au-Tonnerre,2498055,281,0.7,326,157,605.14,0.5
Rivière-Saint-Jean,2498050,227,5.6,169,121,513.36,0.4
Longue-Pointe-de-Mingan,2498045,408,-6,257,204,370.03,1.1
Havre-Saint-Pierre,2498040,3337,-3.6,1655,1448,2570.09,1.3
Baie-Johan-Beetz,2498035,84,-2.3,58,44,327.46,0.3
Aguanish,2498030,224,-8.6,152,119,532.04,0.4
Natashquan,2498025,262,-0.4,156,121,667.91,0.4
L'Île-d'Anticosti,2498020,177,-18.8,134,97,7715.99,0
Côte-Nord-du-Golfe-du-Saint-Laurent,2498015,787,-8.1,430,361,2597.05,0.3
Gros-Mécatina,2498014,356,-21.1,243,182,742.15,0.5
Saint-Augustin,2498012,425,-4.5,228,198,1137.68,0.4
Bonne-Espérance,2498010,692,1.6,318,282,622.99,1.1
Blanc-Sablon,2498005,1122,0.9,503,464,234.98,4.8
Lac-Vacher,2497914,44,,34,30,454.03,0.1
Lac-Juillet,2497912,0,,0,0,2865.5,0
Caniapiscau,2497908,0,,0,0,30108.23,0
Rivière-Mouchalagane,2497906,15,200,40,6,30999.1,0
Lac-Walker,2497904,113,4.6,59,50,17162.43,0
Rivière-Nipissis,2497902,0,,0,0,9522.28,0
Lac-John,2497810,21,-36.4,12,11,0.5,41.6
Matimekosh,2497808,661,3.6,227,203,0.69,963
Kawawachikamach,2497806,641,6.7,203,194,32.51,19.7
Maliotenam,2497804,1610,4.4,542,528,5.2,309.7
Uashat 27,2497802,1550,-2.6,522,493,2.36,657.2
Schefferville,2497040,244,87.7,209,127,24.76,9.9
Fermont,2497035,2256,-8.8,1538,976,451.12,5
Port-Cartier,2497022,6516,-4.2,3307,2918,1092.75,6
Sept-Îles,2497007,24569,-3.3,12814,11272,1742.88,14.1
Rivière-aux-Outardes,2496902,92,-2.1,166,56,32713.75,0
Pessamit,2496802,2428,7.6,841,822,245.19,9.9
Ragueneau,2496040,1314,-2.2,713,613,179.83,7.3
Chute-aux-Outardes,2496035,1391,-11,731,693,7.51,185.3
Pointe-aux-Outardes,2496030,1434,7.7,710,641,75.19,19.1
Pointe-Lebel,2496025,1817,-5.3,935,857,85.54,21.2
Baie-Comeau,2496020,20687,-3.9,10163,9554,334.83,61.8
Franquelin,2496015,285,-8.9,194,157,436.55,0.7
Godbout,2496010,272,2.6,241,157,159.18,1.7
Baie-Trinité,2496005,438,7.6,341,231,417.48,1
Lac-au-Brochet,2495902,0,-100,7,0,9360.33,0
Essipit,2495802,310,4.4,134,128,1.13,274.5
Colombier,2495050,635,-7.3,363,324,361.23,1.8
Forestville,2495045,2892,-6.1,1577,1476,192.61,15
Portneuf-sur-Mer,2495040,612,-4.5,357,321,181.9,3.4
Longue-Rive,2495032,918,-10.5,562,488,308.06,3
Les Escoumins,2495025,1794,-5.1,983,856,265.89,6.7
Les Bergeronnes,2495018,619,-6.4,319,289,268.77,2.3
Sacré-Coeur,2495010,1684,-6.6,877,744,303.15,5.6
Tadoussac,2495005,814,1.9,514,397,52.73,15.4
Mont-Valin,2494930,10,,44,5,33540.39,0
Lac-Ministuk,2494928,58,,23,23,1478.79,0
Lalemant,2494926,0,,1,0,190.57,0
Larouche,2494265,1601,7.7,829,694,84.71,18.9
Saint-Charles-de-Bourget,2494260,784,6.5,383,344,62.13,12.6
Saint-Ambroise,2494255,3883,2.7,1833,1697,149.37,26
Bégin,2494250,851,4,491,384,189.67,4.5
Saint-David-de-Falardeau,2494245,2996,8.2,2250,1381,398.25,7.5
Saint-Honoré,2494240,6376,10.8,2609,2535,189.38,33.7
Saint-Fulgence,2494235,2061,-0.5,998,921,351.91,5.9
Sainte-Rose-du-Nord,2494230,434,-1.1,261,217,116.61,3.7
Saint-Félix-d'Otis,2494225,1109,16,819,548,233.16,4.8
Ferland-et-Boilleau,2494220,632,17,319,263,383.09,1.6
Rivière-Éternité,2494215,414,0.2,239,199,473.17,0.9
L'Anse-Saint-Jean,2494210,1301,8.3,961,621,501.79,2.6
Petit-Saguenay,2494205,600,-5.4,384,305,329.63,1.8
Saguenay,2494068,144723,-0.8,71017,67522,1124.63,128.7
Belle-Rivière,2493908,10,,18,4,608.47,0
Lac-Achouakan,2493906,0,,0,0,225.49,0
Lac-Moncouche,2493904,0,,0,0,262.78,0
Mont-Apica,2493902,0,,0,0,13.02,0
Saint-Ludger-de-Milot,2493080,637,-2.2,401,318,107.46,5.9
Sainte-Monique,2493075,858,1.4,443,379,152.53,5.6
Saint-Henri-de-Taillon,2493070,803,-2.8,504,362,61.74,13
L'Ascension-de-Notre-Seigneur,2493065,2079,4.6,985,855,130.84,15.9
Lamarche,2493060,476,-7.4,396,255,81.45,5.8
Labrecque,2493055,1328,0.5,766,575,152.67,8.7
Saint-Nazaire,2493045,2029,-2.1,869,835,144.76,14
Alma,2493042,30331,-1.4,14493,13815,194.92,155.6
Saint-Gédéon,2493035,2177,4.4,1219,968,63.38,34.3
Saint-Bruno,2493030,2902,3.6,1269,1226,77.86,37.3
Hébertville-Station,2493025,1229,-6.3,558,546,31.5,39
Hébertville,2493020,2500,-1.7,1245,1078,260.74,9.6
Métabetchouan--Lac-à-la-Croix,2493012,4121,3.4,2075,1806,187.49,22
Desbiens,2493005,995,-3.2,523,475,10.39,95.7
Rivière-Mistassini,2492904,27,-44.9,20,16,17629.74,0
Passes-Dangereuses,2492902,210,14.1,151,104,15579.11,0
Saint-Stanislas,2492070,376,0.8,223,163,153.58,2.4
Saint-Eugène-d'Argentenay,2492065,487,-0.2,221,206,87.05,5.6
Notre-Dame-de-Lorette,2492060,159,-15.9,116,92,325.77,0.5
Girardville,2492055,1018,3,511,470,124.11,8.2
Saint-Edmond-les-Plaines,2492050,355,-6.8,173,164,84.39,4.2
Saint-Thomas-Didyme,2492045,703,4,518,364,333.25,2.1
Normandin,2492040,2991,-1.4,1382,1315,211.79,14.1
Albanel,2492030,2181,-3.6,987,935,197.45,11
Dolbeau-Mistassini,2492022,13718,-3.5,6866,6263,293.43,46.8
Sainte-Jeanne-d'Arc,2492015,1101,4.9,552,493,267.28,4.1
Péribonka,2492010,489,-5,304,234,110.3,4.4
Saint-Augustin,2492005,334,-4.8,161,148,104.25,3.2
Lac-Ashuapmushuan,2491902,140,288.9,571,96,14684.28,0
Mashteuiatsh,2491802,2010,2.7,1095,808,14.43,139.3
La Doré,2491050,1359,-0.4,654,610,288.55,4.7
Saint-Félicien,2491042,10089,-1.5,5169,4686,361.27,27.9
Saint-Prime,2491035,2760,0.3,1304,1178,147.16,18.8
Sainte-Hedwidge,2491030,870,2.8,494,390,461.67,1.9
Roberval,2491025,9840,-2.1,4838,4520,151.36,65
Chambord,2491020,1748,-1,1186,849,120.85,14.5
Saint-François-de-Sales,2491015,643,4.4,423,295,197.2,3.3
Saint-André-du-Lac-Saint-Jean,2491010,453,-3,231,208,145.43,3.1
Lac-Bouchette,2491005,1183,-1.1,956,641,904.26,1.3
Obedjiwan 28,2490804,1991,-1.4,433,425,8.26,241.1
Communauté de Wemotaci,2490802,1142,-5.9,359,289,31.55,36.2
Lac-Édouard,2490027,220,15.2,298,118,898.32,0.2
La Bostonnais,2490017,556,-12.4,374,268,284.32,2
La Tuque,2490012,11129,1.2,6930,5543,24809.4,0.4
Lac-Granet,2489912,0,,0,0,217.77,0
Réservoir-Dozois,2489910,0,,0,0,3832.68,0
Lac-Metei,2489908,0,,0,0,72.12,0
Matchi-Manitou,2489902,0,,0,0,164.77,0
Lac Simon,2489804,1285,-6.9,343,342,3.14,409.2
Kitcisakik,2489802,257,-6.2,93,80,1.51,170.2
Belcourt,2489050,219,-2.7,120,114,409.74,0.5
Senneterre,2489045,1202,0.8,606,559,567.05,2.1
Senneterre,2489040,2782,-3,1534,1390,14718.51,0.2
Malartic,2489015,3355,-0.7,1635,1481,147.45,22.8
Rivière-Héva,2489010,1495,5.4,729,649,423.27,3.5
Val-d'Or,2489008,32752,0.8,15884,15033,3536.84,9.3
Lac-Chicobi,2488904,161,18.4,81,71,716.01,0.2
Lac-Despinassy,2488902,21,110,12,11,1848.65,0
Pikogan,2488802,540,0.4,165,158,1,537.4
Preissac,2488090,914,9.5,527,430,422.13,2.2
Sainte-Gertrude-Manneville,2488085,793,0.8,325,311,316.46,2.5
Launay,2488080,211,-3.2,99,97,257.8,0.8
Trécesson,2488075,1232,0.7,584,519,196.89,6.3
Berry,2488070,535,-0.6,283,232,575.07,0.9
Saint-Dominique-du-Rosaire,2488065,434,-3.6,205,193,479.89,0.9
Saint-Félix-de-Dalquier,2488060,1026,9.1,414,405,113.15,9.1
Amos,2488055,12675,-1.2,6051,5760,429.04,29.5
Saint-Mathieu-d'Harricana,2488050,770,4.2,349,318,105.86,7.3
La Motte,2488045,478,5.5,264,222,175.48,2.7
Saint-Marc-de-Figuery,2488040,868,4.1,386,352,80.79,10.7
Landrienne,2488035,897,-7.2,410,398,275.93,3.3
La Corne,2488030,778,8.2,382,322,308.13,2.5
Barraute,2488022,1986,0.9,1012,930,493.04,4
La Morandière,2488015,205,-1,111,98,407.35,0.5
Rochebaucourt,2488010,146,11.5,70,66,183.63,0.8
Champneuf,2488005,94,-23.6,54,48,241.32,0.4
Rivière-Ojima,2487904,60,-30.2,39,32,354.47,0.2
Lac-Duparquet,2487902,0,,0,0,113.66,0
Saint-Lambert,2487120,191,-1.5,95,89,99.81,1.9
Normétal,2487115,778,-3.7,378,361,55.25,14.1
Clermont,2487110,484,-1.6,218,200,156.66,3.1
Val-Saint-Gilles,2487105,169,7.6,79,70,109.39,1.5
Authier-Nord,2487100,288,-4,159,128,278.05,1
Chazel,2487095,254,-12.1,131,118,133.55,1.9
La Sarre,2487090,7358,1,3698,3493,148.36,49.6
Dupuy,2487085,940,1,414,395,122.43,7.7
La Reine,2487080,307,-9.4,164,142,97.63,3.1
Clerval,2487075,373,0.5,291,180,99.17,3.8
Sainte-Hélène-de-Mancebourg,2487070,410,9.9,185,159,68.15,6
Macamic,2487058,2744,-0.3,1188,1142,202.05,13.6
Authier,2487050,290,8.2,134,129,142.22,2
Taschereau,2487042,898,-6.7,460,425,246.97,3.6
Poularies,2487035,662,-2.9,285,274,168.19,3.9
Sainte-Germaine-Boulé,2487030,941,-4.6,398,384,110.04,8.6
Palmarolle,2487025,1386,-1.6,649,595,117.87,11.8
Gallichan,2487020,488,4.3,304,229,73.61,6.6
Roquemaure,2487015,409,3.5,215,185,120.02,3.4
Rapide-Danseur,2487010,380,15.9,209,161,173.73,2.2
Duparquet,2487005,716,7.5,389,342,121.17,5.9
Rouyn-Noranda,2486042,42313,0,20874,19282,5963.57,7.1
Les Lacs-du-Témiscamingue,2485907,10,-33.3,15,6,10366.89,0
Laniel,2485905,89,8.5,185,57,408.2,0.2
Timiskaming,2485806,541,0.4,208,204,18.39,29.4
Winneway,2485804,176,69.2,59,57,0.33,532.4
Hunter's Point,2485803,5,-50,28,4,1.3,3.8
Kebaowek,2485802,326,12,152,149,0.57,572.3
Rémigny,2485105,287,2.5,148,135,894.05,0.3
Nédélec,2485100,340,-4.5,168,152,371.49,0.9
Guérin,2485095,333,4.1,210,134,188.52,1.8
Notre-Dame-du-Nord,2485090,1090,3.6,569,511,74.34,14.7
Saint-Eugène-de-Guigues,2485085,458,-1.5,254,198,109.52,4.2
Moffet,2485075,206,10.2,179,104,340.31,0.6
Laforce,2485070,320,38.5,124,109,436.78,0.7
Belleterre,2485065,285,-8.9,181,136,544.49,0.5
Latulipe-et-Gaboury,2485060,320,8.5,225,159,270.11,1.2
Fugèreville,2485055,326,0,213,148,157.12,2.1
Laverlochère-Angliers,2485052,947,-3.2,525,443,400.83,2.4
Saint-Bruno-de-Guigues,2485045,1185,2.7,604,497,125.77,9.4
Lorrainville,2485037,1286,1.1,602,570,87.91,14.6
Duhamel-Ouest,2485030,945,7.6,470,394,91.49,10.3
Ville-Marie,2485025,2464,-4.6,1264,1185,5.83,422.4
Béarn,2485020,708,-1.7,386,350,496.28,1.4
Saint-Édouard-de-Fabre,2485015,671,6.8,320,287,190.29,3.5
Kipawa,2485010,446,-10.6,325,214,35.58,12.5
Témiscaming,2485005,2368,-2.6,1407,1114,710.84,3.3
Lac-Nilgaut,2484902,5,0,0,0,8966.53,0
Rapides-des-Joachims,2484100,141,-9.6,117,78,238.9,0.6
Sheenboro,2484095,149,14.6,197,76,565.43,0.3
Chichester,2484090,350,0.6,247,165,218.74,1.6
L'Isle-aux-Allumettes,2484082,1382,3.6,1124,621,185.94,7.4
Waltham,2484070,387,2.4,232,175,360.19,1.1
Mansfield-et-Pontefract,2484065,2250,-1.5,1074,883,466.61,4.8
Fort-Coulonge,2484060,1312,-8.4,605,574,2.96,443.9
Otter Lake,2484055,1041,11.7,1134,520,454.7,2.3
Alleyn-et-Cawood,2484050,229,33.1,303,126,308.91,0.7
Thorne,2484045,528,17.9,659,277,173.09,3.1
Litchfield,2484040,500,8.9,417,229,198.57,2.5
L'Île-du-Grand-Calumet,2484035,648,3.5,437,321,130.55,5
Campbell's Bay,2484030,705,-5.2,354,314,3.42,206
Bryson,2484025,646,-7.3,302,284,3.58,180.4
Portage-du-Fort,2484020,232,-0.9,146,110,4.22,55
Clarendon,2484015,1392,10.8,968,615,330.46,4.2
Shawville,2484010,1668,5.1,807,750,5.38,310.1
Bristol,2484005,1199,15.7,1020,547,206.19,5.8
Dépôt-Échouani,2483912,0,,0,0,308.12,0
Lac-Moselle,2483908,0,,0,0,1144.81,0
Lac-Lenôtre,2483906,0,,0,0,1934.31,0
Cascades-Malignes,2483904,0,,0,0,480.88,0
Lac-Pythonga,2483902,0,,0,0,5061.54,0
Lac-Rapide,2483804,,,,,0.36,
Kitigan Zibi,2483802,1204,-2.2,633,581,195.06,6.2
Grand-Remous,2483095,1159,-0.2,778,563,351.63,3.3
Aumond,2483090,754,0,623,355,212.82,3.5
Montcerf-Lytton,2483088,653,2.7,387,306,354.64,1.8
Bois-Franc,2483085,411,-2.4,215,192,71.56,5.7
Egan-Sud,2483075,508,0.8,258,235,49.82,10.2
Déléage,2483070,1916,3.5,1021,872,248.26,7.7
Maniwaki,2483065,3757,-2.2,2110,1881,5.67,662.8
Messines,2483060,1655,2.9,1047,787,110.11,15
Sainte-Thérèse-de-la-Gatineau,2483055,588,13.1,534,288,60.68,9.7
Bouchette,2483050,695,-4.9,629,347,122.09,5.7
Blue Sea,2483045,696,8.9,639,358,72.97,9.5
Cayamant,2483040,895,9,1036,460,382.49,2.3
Gracefield,2483032,2376,-3.5,1880,1131,380.94,6.2
Lac-Sainte-Marie,2483020,677,19.6,930,374,205.71,3.3
Kazabazua,2483015,1037,9.7,832,484,172.91,6
Low,2483010,1020,3.9,864,495,257.78,4
Denholm,2483005,546,8.1,561,274,177.33,3.1
La Pêche,2482035,8636,9.8,4962,3669,577.18,15
Pontiac,2482030,6142,5,2710,2377,445.27,13.8
Chelsea,2482025,8000,15.8,3376,3041,112.65,71
Cantley,2482020,11449,7,4289,4109,126.12,90.8
Val-des-Monts,2482015,13328,15.1,7002,5350,434.77,30.7
Notre-Dame-de-la-Salette,2482010,841,15.7,478,381,113.33,7.4
L'Ange-Gardien,2482005,6102,11.7,2288,2176,216.05,28.2
Gatineau,2481017,291041,5.4,133225,126476,341.84,851.4
Bowman,2480145,667,1.4,546,335,126.4,5.3
Val-des-Bois,2480140,920,6.4,837,495,222.67,4.1
Duhamel,2480135,569,32.3,972,345,427.32,1.3
Lac-des-Plages,2480130,548,27.1,696,317,150.95,3.6
Saint-Émile-de-Suffolk,2480125,512,7.3,416,243,55.68,9.2
Boileau,2480115,405,20.9,406,199,134.08,3
Namur,2480110,633,10.7,381,295,56.17,11.3
Chénéville,2480103,848,11,500,412,65.83,12.9
Lac-Simon,2480095,1057,12,1304,554,95.65,11.1
Montpellier,2480090,1112,12.9,954,589,246.12,4.5
Mulgrave-et-Derry,2480085,461,24.9,476,229,289.52,1.6
Ripon,2480078,1735,12.5,1009,791,129.93,13.4
Saint-Sixte,2480070,490,4.5,219,202,84.34,5.8
Mayo,2480065,704,17.1,395,297,72.51,9.7
Lochaber-Partie-Ouest,2480060,926,8.2,358,336,57.39,16.1
Lochaber,2480055,446,7.5,194,176,62.14,7.2
Thurso,2480050,3084,9.4,1510,1421,6.65,463.8
Plaisance,2480045,1129,3.8,553,502,36.21,31.2
Papineauville,2480037,2153,2.5,1101,1019,61.13,35.2
Saint-André-Avellin,2480027,3562,-5,1862,1616,137.34,25.9
Notre-Dame-de-la-Paix,2480020,675,4.2,407,301,105.96,6.4
Notre-Dame-de-Bonsecours,2480015,285,-5.3,166,134,258.36,1.1
Montebello,2480010,934,-5,517,459,8.6,108.7
Fassett,2480005,453,5.1,280,237,12.52,36.2
Lac-Marguerite,2479926,0,,0,0,803.59,0
Lac-Ernest,2479924,0,,0,0,339.3,0
Lac-Douaire,2479922,5,0,0,0,1957.99,0
Baie-des-Chaloupes,2479920,0,,0,0,890.15,0
Lac-de-la-Maison-de-Pierre,2479916,0,,0,0,472.88,0
Lac-Oscar,2479914,0,,0,0,1667.85,0
Lac-De La Bidière,2479912,0,,0,0,1530.44,0
Lac-Bazinet,2479910,0,,1,0,1536.22,0
Lac-Wagwabika,2479906,0,,0,0,4.13,0
Lac-Akonapwehikan,2479904,0,,0,0,7.54,0
Lac-de-la-Pomme,2479902,0,,0,0,50.27,0
Sainte-Anne-du-Lac,2479115,556,-3.3,422,299,320.73,1.7
Mont-Saint-Michel,2479110,581,0.9,382,280,138.16,4.2
Lac-Saint-Paul,2479105,525,9.1,423,275,170.72,3.1
Ferme-Neuve,2479097,2716,0.4,1453,1276,786.19,3.5
Mont-Laurier,2479088,14180,0.5,7223,6698,587.42,24.1
Lac-des-Écorces,2479078,2885,5.5,1669,1363,144.3,20
Chute-Saint-Philippe,2479065,1039,10.3,876,513,298.64,3.5
Lac-Saguay,2479060,526,14.6,447,280,171.88,3.1
L'Ascension,2479050,899,13.7,880,488,334.82,2.7
La Macaza,2479047,1094,-4.9,997,509,161.42,6.8
Rivière-Rouge,2479037,4631,7.1,3082,2328,451.43,10.3
Nominingue,2479030,2255,5.5,1937,1176,303.89,7.4
Kiamika,2479025,790,4.4,508,391,337.53,2.3
Saint-Aimé-du-Lac-des-Îles,2479022,815,3.2,481,375,161.61,5
Lac-du-Cerf,2479015,445,2.3,458,245,71.73,6.2
Notre-Dame-de-Pontmain,2479010,790,1,746,411,259.9,3
Notre-Dame-du-Laus,2479005,1730,11,1924,932,849.1,2
Doncaster,2478802,,,,,74.62,
La Minerve,2478130,1421,17.9,1638,767,274.92,5.2
Lac-Tremblant-Nord,2478127,60,42.9,70,31,20.62,2.9
Labelle,2478120,2765,11.6,2017,1362,196.69,14.1
La Conception,2478115,1527,14.2,1229,743,127.37,12
Mont-Tremblant,2478102,10992,14,8783,5408,233.75,47
Val-des-Lacs,2478100,750,0.8,822,391,126.7,5.9
Lac-Supérieur,2478095,1972,4.4,1718,996,365.98,5.4
Brébeuf,2478075,1009,3.4,620,495,35.78,28.2
Amherst,2478070,1728,16.4,1613,876,227.86,7.6
Huberdeau,2478065,863,-0.6,527,430,56.72,15.2
Arundel,2478060,578,2.7,402,290,63.45,9.1
Montcalm,2478055,632,0.6,627,330,117.71,5.4
Barkmere,2478050,81,39.7,230,50,17.72,4.6
Saint-Faustin--Lac-Carré,2478047,3780,8,2520,1791,120.21,31.4
Ivry-sur-le-Lac,2478042,391,1,398,200,29.3,13.3
Sainte-Agathe-des-Monts,2478032,11211,9.7,6767,5514,129.1,86.8
Sainte-Lucie-des-Laurentides,2478020,1445,15,953,688,108.98,13.3
Lantier,2478015,891,6.8,819,442,48.19,18.5
Val-David,2478010,5558,13,3227,2668,42.66,130.3
Val-Morin,2478005,3123,8.8,2077,1487,39.2,79.7
Saint-Adolphe-d'Howard,2477065,3824,9,3730,2039,135.8,28.2
Wentworth-Nord,2477060,1672,22.9,1968,896,152.87,10.9
Lac-des-Seize-Îles,2477055,175,-8.9,212,96,8.88,19.7
Morin-Heights,2477050,4678,12.9,2762,2211,55.96,83.6
Saint-Sauveur,2477043,11580,13.2,7267,5936,47.62,243.2
Sainte-Anne-des-Lacs,2477035,3862,7,2232,1792,24.65,156.7
Piedmont,2477030,3476,17.8,2385,1822,24.36,142.7
Sainte-Adèle,2477022,14010,8.4,8002,6896,119.67,117.1
Sainte-Marguerite-du-Lac-Masson,2477012,3367,21.9,2365,1689,91.56,36.8
Estérel,2477011,262,33.7,377,153,12.62,20.8
Harrington,2476065,967,14.3,1339,543,233.65,4.1
Grenville,2476055,1816,6.1,951,903,2.82,644.6
Grenville-sur-la-Rouge,2476052,2883,2.1,1808,1376,313.61,9.2
Brownsburg-Chatham,2476043,7247,1.8,3783,3282,244.46,29.6
Wentworth,2476035,682,28,802,378,85.03,8
Mille-Isles,2476030,1721,9.8,950,756,58.73,29.3
Gore,2476025,2283,19.9,1615,1124,90.04,25.4
Lachute,2476020,14100,9.6,6862,6531,108.66,129.8
Saint-André-d'Argenteuil,2476008,3053,1.1,1490,1330,97.69,31.3
Saint-Hippolyte,2475045,10669,17.1,5597,4683,119.5,89.3
Prévost,2475040,13692,5.3,5722,5532,34.29,399.3
Sainte-Sophie,2475028,18080,15.2,7490,7211,111.2,162.6
Saint-Jérôme,2475017,80213,7.9,38776,37371,90.18,889.5
Saint-Colomban,2475005,17740,10.7,6807,6632,92.71,191.4
Mirabel,2474005,61108,21,25514,24795,484.09,126.2
Sainte-Anne-des-Plaines,2473035,15221,5.5,6005,5882,93.44,162.9
Bois-des-Filion,2473030,10159,5.4,4370,4258,4.36,2327.8
Lorraine,2473025,9502,1.6,3437,3393,5.9,1609.9
Rosemère,2473020,14090,0.9,5340,5249,10.68,1318.7
Blainville,2473015,59819,5.2,22859,22424,54.97,1088.2
Sainte-Thérèse,2473010,26533,2.1,13202,12686,9.48,2798.9
Boisbriand,2473005,28308,5.3,11769,11425,27.67,1022.9
Kanesatake,2472802,,,,,11.86,
Saint-Placide,2472043,1784,5.8,876,778,42.89,41.6
Oka,2472032,3968,3.8,1683,1616,56.99,69.6
Saint-Joseph-du-Lac,2472025,7031,5.1,2819,2743,41.22,170.6
Pointe-Calumet,2472020,6281,-2.3,2673,2590,4.59,1367.7
