REF_DATE,GEO,DGUID,CDUID,Display value,Statement of operations and balance sheet,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Other assets [624],Dollars,81,thousands,3,v1571493251,106.1.36,0,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Liabilities [63],Dollars,81,thousands,3,v1571493252,106.1.37,5027496,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Currency and deposits, liabilities [6312, 6322]",Dollars,81,thousands,3,v1571493253,106.1.38,0,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Loans and Debt Securities, liabilities [6313,6323,6314,6324,6315,6325]",Dollars,81,thousands,3,v1571493254,106.1.39,3407145,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Insurance, pension and standardized guarantee schemes, liabilities [6316, 6326]",Dollars,81,thousands,3,v1571493255,106.1.40,88629,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,"Other accounts payable [6318, 6328]",Dollars,81,thousands,3,v1571493256,106.1.41,1531722,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Other liabilities [634],Dollars,81,thousands,3,v1571493257,106.1.42,0,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Gross operating balance,Dollars,81,thousands,3,v1571493090,103.1.1,1485087,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Net operating balance,Dollars,81,thousands,3,v1571493091,103.1.2,792125,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Revenue [1],Dollars,81,thousands,3,v1571493092,103.1.3,4640927,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Taxes [11],Dollars,81,thousands,3,v1571493093,103.1.4,2554525,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Taxes on property [113],Dollars,81,thousands,3,v1571493094,103.1.5,1929328,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Recurrent taxes on immovable property [1131],Dollars,81,thousands,3,v1571493095,103.1.6,1929328,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Taxes on financial and capital transactions [1134],Dollars,81,thousands,3,v1571493096,103.1.7,0,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Other taxes on property [1133, 1136]",Dollars,81,thousands,3,v1571493097,103.1.8,0,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Taxes on goods and services [114],Dollars,81,thousands,3,v1571493098,103.1.9,625197,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Other taxes [1161, 1162]",Dollars,81,thousands,3,v1571493099,103.1.10,0,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Social contributions [12],Dollars,81,thousands,3,v1571493100,103.1.11,0,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Grants, revenue [13]",Dollars,81,thousands,3,v1571493101,103.1.12,619006,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Other revenue [14],Dollars,81,thousands,3,v1571493102,103.1.13,1467396,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Property income [141],Dollars,81,thousands,3,v1571493103,103.1.14,102795,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Sales of goods and services [142],Dollars,81,thousands,3,v1571493104,103.1.15,1155955,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Fines, penalties and forfeits [143]",Dollars,81,thousands,3,v1571493105,103.1.16,69080,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Voluntary transfers other than grants [144],Dollars,81,thousands,3,v1571493106,103.1.17,0,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Miscellaneous revenue [145, 16]",Dollars,81,thousands,3,v1571493107,103.1.18,139566,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Expense [2],Dollars,81,thousands,3,v1571493108,103.1.19,3848802,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Compensation of employees [21],Dollars,81,thousands,3,v1571493109,103.1.20,1971506,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Use of goods and services [22],Dollars,81,thousands,3,v1571493110,103.1.21,934179,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Consumption of fixed capital [23],Dollars,81,thousands,3,v1571493111,103.1.22,692962,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Interest expense [24],Dollars,81,thousands,3,v1571493112,103.1.23,111376,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Subsidies [25],Dollars,81,thousands,3,v1571493113,103.1.24,0,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Grants, expense [26]",Dollars,81,thousands,3,v1571493114,103.1.25,0,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Social benefits [27],Dollars,81,thousands,3,v1571493115,103.1.26,0,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Other expense [28, 29]",Dollars,81,thousands,3,v1571493116,103.1.27,138779,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Net worth [6],Dollars,81,thousands,3,v1571493117,103.1.28,21817531,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Nonfinancial assets [61],Dollars,81,thousands,3,v1571493118,103.1.29,19277338,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Net financial worth,Dollars,81,thousands,3,v1571493119,103.1.30,2540193,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Financial assets [62],Dollars,81,thousands,3,v1571493120,103.1.31,7976569,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Currency and deposits, assets [6212, 6222]",Dollars,81,thousands,3,v1571493121,103.1.32,632576,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Net acquisition of financial assets [6213,6223,6214,6224,6215,6225, 6217, 6227]",Dollars,81,thousands,3,v1571493122,103.1.33,6864325,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Insurance and pension, assets [6216, 6226]",Dollars,81,thousands,3,v1571493123,103.1.34,0,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,"Other accounts receivable [6218, 6228]",Dollars,81,thousands,3,v1571493124,103.1.35,479668,,,,0
2020,"Calgary (CY), Alberta",2016A00054806016,,Stocks,Other assets [624],Dollars,81,thousands,3,v1571493125,103.1.36,0,,,,0
